		C2C						A2A						CF2CF						
	Component	Gator	IC3	IC3-Dial	A3E	Story	ICCBot	Gator	IC3	IC3-Dial	A3E	Story	ICCBot	Gator	IC3	IC3-Dial	A3E	Story	ICCBot	
com.quiz.gkquize	5	1	13	13	5	5	5	1	13	13	5	5	5	1	13	13	5	5	5	
rs.prva.android	22	5	0	0	0	0	7	5	0	0	0	0	4	5	0	0	0	0	18	
com.bighand.android	29	0	0	0	0	0	95	0	0	0	0	0	76	0	0	0	0	0	118	
com.dobrotoljublje	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	43	
com.aghani.etabmaghnia.songstorekk	36	21	0	0	22	22	32	21	0	0	22	22	24	21	0	0	22	22	32	
com.k3games.airportmanager	13	0	0	0	0	0	4	0	0	0	0	0	2	0	0	0	0	0	4	
com.edugorilla.purijrtypist	47	20	0	0	6	36	71	20	0	0	4	36	51	20	0	0	6	36	95	
com.paktechapps.Good.morning2018.photoframes.free	5	5	6	6	0	6	5	5	6	6	0	6	5	5	6	6	0	7	5	
com.senbac.qrcode	39	22	0	0	30	24	28	22	0	0	30	24	27	22	0	0	30	31	41	
com.gameon.project	7	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	6	
com.andromo.dev244573.app243661	6	0	0	0	0	0	5	0	0	0	0	0	5	0	0	0	0	2	5	
com.bergamosretreat.m	7	1	0	0	2	0	3	1	0	0	2	0	2	1	0	0	2	0	9	
com.drmaxmuscle.dr_max_muscle	5	0	0	0	1	0	1	0	0	0	1	0	1	0	0	0	1	0	4	
com.andromo.dev267574.app402894	101	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
com.portablepixels.smokefree	20	5	0	0	3	0	16	5	0	0	3	0	6	5	0	0	3	0	62	
com.vyoma.samyukthaksharani	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
com.hanovereveningsun.android.prod	40	654	0	0	4	5	125	654	0	0	4	5	120	654	0	0	4	6	167	
com.girishkolambe240.boysposes	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
com.salimbk.mouhammedsalem2019	2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	
br.com.calculacaixa	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
com.davisinstruments.weatherlink	9	0	8	8	0	0	22	0	0	0	0	0	0	0	8	8	0	1	107	
pattent_sharing_aos.smartteeam.gdt.com.livechat	5	1	0	0	3	0	8	1	0	0	0	0	2	1	0	0	3	0	19	
com.gamesjust.contract.commando.battle.game.free	17	2	2	0	0	0	1	2	1	0	0	0	1	2	2	0	0	0	1	
com.newandromo.dev6747.app739461	20	22	0	0	0	0	20	22	0	0	0	0	12	22	0	0	0	1	20	
com.SoftInc.Kelas_11_SMA_BInggris_smt1	8	1	1	2	0	1	3	1	1	2	0	1	3	1	1	2	0	2	3	
fr.ives.djanah	37	3	18	0	5	2	46	3	2	0	3	1	37	3	18	0	5	2	45	
com.infolink.limeiptv	18	2	0	0	0	0	13	2	0	0	0	0	12	2	0	0	0	0	30	
com.sparklingsocietytycoon.paradisecityislandsim	11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	
digital.tamil.moviesongs.best.collection	17	1	0	0	6	6	15	1	0	0	6	6	7	1	0	0	6	8	15	
jack.martin.mykeyboard.myphotokeyboard.kitty	5	0	1	1	0	1	0	0	1	1	0	1	0	0	1	1	0	3	0	
io.getbound.prod	51	12	0	0	0	0	42	12	0	0	0	0	32	12	0	0	0	0	111	
mmappszone.sabinayasminsuperhitsongs	14	11	2	0	0	22	22	11	2	0	0	22	22	11	2	0	0	23	22	
com.indianhitsongs.telugu2016hitsongs	8	0	3	3	2	1	7	0	2	2	1	1	3	0	3	3	2	1	7	
com.livelink.isf	10	0	1	1	0	0	2	0	0	0	0	0	1	0	1	1	0	0	2	
it.stany.gravitysprint	10	5	0	0	0	0	13	5	0	0	0	0	3	5	0	0	0	0	13	
com.liteforapp.swipe	3	1	0	0	3	3	4	1	0	0	2	2	2	1	0	0	3	3	4	
com.americanexpress.android.acctsvcs.fr	182	0	0	0	0	0	21	0	0	0	0	0	19	0	0	0	0	0	75	
com.dev.chehiwat.maghribia.bledna	4	0	1	1	1	2	2	0	1	1	1	2	2	0	1	1	1	6	6	
com.mobimarko.WorldsBest100FunniestPhotos	2	0	1	1	1	1	1	0	1	1	1	1	1	0	1	1	1	1	1	
com.crowdcomms.nikeportal	15	0	0	0	0	0	10	0	0	0	0	0	1	0	0	0	0	0	10	
com.dynamicmarkets.us.freebierocket	36	144	0	0	8	3	151	144	0	0	5	3	136	144	0	0	8	9	339	
com.funwithphotography.namephotooncake	12	4	9	9	9	6	12	4	5	5	5	6	7	4	9	9	9	8	12	
com.app.seleniuminterviewquestions	8	2	0	0	0	1	3	2	0	0	0	1	3	2	0	0	0	1	3	
com.appbecho.kixra	19	6	0	0	2	5	24	6	0	0	0	4	10	6	0	0	2	8	29	
com.creativesimulatorsstudio.mummycity	32	22	0	0	0	0	13	22	0	0	0	0	3	22	0	0	0	1	13	
imox.condo.admin.app	42	5	0	0	0	0	33	5	0	0	0	0	32	5	0	0	0	0	34	
com.greensparker.myfrenchalphabets	14	26	14	0	14	26	26	26	14	0	14	26	26	26	14	0	14	26	24	
com.companyname.Draw_Cut	13	1	5	5	1	1	6	1	1	1	1	1	2	1	5	5	1	2	6	
com.bravolang.spanish	15	2	0	0	5	15	13	2	0	0	5	15	13	2	0	0	5	23	18	
tk.todaynewsupdate.Senegaltodaynewsupdate	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
it.gp.radiolidi	8	1	2	2	3	1	3	1	1	1	0	1	1	1	2	2	3	6	3	
org.smart_guide.smartguide.T_00007	29	1	0	2	2	0	7	1	0	2	2	0	5	1	0	2	2	1	26	
jp.digitallab.diamond	13	0	12	0	0	6	20	0	2	0	0	2	4	0	12	0	0	10	87	
com.gmail.shellingsoft.holmesquiz	4	5	0	0	0	6	6	5	0	0	0	6	6	5	0	0	0	6	6	
io.appsly.stepper	6	3	0	0	0	0	10	3	0	0	0	0	3	3	0	0	0	0	19	
com.onenetme.dealer	4	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	1	0	1	
com.english_azerbaijan_translator.translator_app	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
com.OON.EastCoastPOSDemo	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
com.wingsphotoeditor.angelwings.snapchatfilters.addwingstophotoenter	18	8	2	2	0	0	7	8	2	2	0	0	7	8	2	2	0	0	7	
com.jb.gokeyboard.theme.keyboardthemefallingstars.getjar	13	0	33	0	2	0	9	0	0	0	0	0	1	0	33	0	2	1	27	
com.iamyub.AndTTTip	5	3	3	3	4	4	4	3	3	3	4	4	4	3	3	3	4	4	4	
com.frank.ninjabird	4	4	14	14	4	11	8	4	14	14	4	11	8	4	14	14	4	11	8	
app.com.efficiency	14	11	0	0	3	19	25	11	0	0	3	19	23	11	0	0	3	23	137	
com.myprog.netutils	7	3	3	3	2	3	3	3	3	3	2	3	3	3	3	3	2	7	7	
com.UtilityCrafting.utility.minecraft.maps	3	0	4	0	0	0	2	0	3	0	0	0	2	0	4	0	0	0	2	
de.paulstelzer.iqtest	12	0	5	0	1	0	7	0	4	0	0	0	4	0	5	0	1	0	7	
com.akgun.uknews	14	7	6	0	1	6	16	7	4	0	1	6	7	7	6	0	1	8	16	
com.zamrud.radio.mobile.app.actarifm	13	1	0	0	0	0	13	1	0	0	0	0	10	1	0	0	0	1	85	
nl.sitedish.sakura	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
com.neptune.domino	5	0	1	0	1	0	3	0	0	0	0	0	0	0	1	0	1	0	5	
com.chubisapp.ChilltraxRadio	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
de.dbregio.wohinduwillst	25	420	0	6	0	0	32	420	0	0	0	0	29	420	0	6	0	0	48	
lozi.loship_user	79	122	0	0	2	7	122	122	0	0	2	7	118	122	0	0	2	66	371	
com.referencehunt.lasers	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
ma.safe.bnmaroc	21	10	0	0	2	0	21	10	0	0	2	0	15	10	0	0	2	0	25	
com.aspireandroiddeveloper.gannsquare9calculator	6	2	0	2	2	3	8	2	0	2	2	3	6	2	0	2	2	3	14	
tz.co.nyotaapps.housekeepers.housekeepers	12	121	0	0	0	15	17	121	0	0	0	15	17	121	0	0	0	15	17	
com.meluapp.tekatekisilangpintar	10	8	0	0	5	15	14	8	0	0	5	15	13	8	0	0	5	15	14	
com.MenWeddingShoes.febridroid	32	4	0	0	5	7	32	4	0	0	5	7	8	4	0	0	5	8	38	
com.ac.englishtoodiatranslator	10	7	0	0	8	9	14	7	0	0	7	9	10	7	0	0	8	9	14	
com.atharosdev.SACPER	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
com.msmstudios.ainchainslyrics	52	234	0	0	0	10	203	234	0	0	0	10	198	234	0	0	0	38	249	
com.SCI.CSV	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
com.app.volumeet	17	6	0	0	5	4	15	6	0	0	4	3	6	6	0	0	5	40	61	
com.aspers.dev	14	0	0	0	0	0	9	0	0	0	0	0	1	0	0	0	0	0	9	
com.seekerslab.speed	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
air.com.gamilfoxkjdhf.gamikohscharikasd	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
com.tinylabproductions.pirates	40	18	1	1	0	0	29	18	1	1	0	0	8	18	1	1	0	0	30	
com.blyts.trucolite.activities	8	0	4	4	0	0	7	0	0	0	0	0	1	0	4	4	0	0	9	
com.swash.transitworld.luxembourg	32	25	0	0	9	21	31	25	0	0	9	21	29	25	0	0	9	22	31	
cresents.firedragon	6	1	4	4	0	0	13	1	2	2	0	0	6	1	4	4	0	0	13	
com.jagex.oldscape.android	7	2	1	0	0	0	1	2	1	0	0	0	1	2	1	0	0	0	2	
com.gallusgolf.c892.android.mtviewgc	22	0	0	0	0	0	7	0	0	0	0	0	3	0	0	0	0	0	17	
com.jeffreyfunnyapplication.coloringbirthdaycake	2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	
com.matchtech.solive	89	608	0	0	0	71	74	608	0	0	0	70	72	608	0	0	0	96	113	
com.mobblo.flyfflegacy	23	11	0	0	3	0	11	11	0	0	3	0	5	11	0	0	3	0	18	
com.imagiration.math	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
com.briox.riversip.android.tech.defense	47	4	0	0	2	0	80	4	0	0	2	0	63	4	0	0	2	3	134	
com.ixigo.bus	13	6	14	0	8	15	15	6	14	0	8	15	13	6	14	0	8	15	25	
green_green_avk.anothertermlite	10	9	0	1	5	8	12	9	0	0	4	8	10	9	0	1	5	9	13	
com.auratko.kaise.garamkare	3	0	1	1	1	1	1	0	1	1	1	1	1	0	1	1	1	1	1	
com.burhanrashid52.SelfieWithJennieBlackpinkkpop	20	6	0	2	0	3	13	6	0	2	0	3	5	6	0	2	0	4	18	
com.echurchapps.firstbaptistash	68	1959	0	0	14	3	742	1959	0	0	14	3	732	1959	0	0	14	7	1694	
jp.wec.mjcalc.free	2	1	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	
com.app_guad.layout	45	0	0	0	8	0	57	0	0	0	8	0	49	0	0	0	8	2	308	
com.papacekb.moon	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
com.linwo.yuzi	148	0	0	0	37	220	254	0	0	0	36	220	225	0	0	0	37	258	296	
com.sethchhim.kuboo	11	2	13	13	2	6	25	2	12	12	2	6	24	2	13	13	2	9	25	
