	#Component	completeness			connectivity			completeness				connectivity				edge Num				oracle	#false negative 				false negative rate			
		dynamic	manual	whole	dynamic	manual	whole	ICCBot	IC3	IC3-dial	Gator	ICCBot	IC3	IC3-dial	Gator	ICCBot	IC3	IC3-dial	Gator	whole	ICCBot	IC3	IC3-dial	Gator	ICCBot	IC3	IC3-dial	Gator
bestfreelivewallpapers.ICCBot_photo_aquarium_wallpaper	10	0.20	0.20	0.20	0.00	0.00	0.00	0.73	0.92	0.92	0.38	2.40	5.40	5.80	0.40	12	27	29	2	0	0	0	0	0	0.00	0.00	0.00	0.00
com.airkast.tunekast1558_1	33	0.05	0.05	0.05	0.00	0.00	0.00	0.38	0.25	0.05	0.05	1.94	6.24	0.00	0.00	32	103	0	0	0	0	0	0	0	0.00	0.00	0.00	0.00
classify.strikerapps.com.adage	13	0.06	0.06	0.06	0.00	0.00	0.00	0.54	0.06	0.06	0.23	1.85	0.00	0.00	0.77	12	0	0	5	0	0	0	0	0	0.00	0.00	0.00	0.00
com.allsuit.man.suit.photos	17	0.06	0.06	0.06	0.00	0.00	0.00	0.81	0.71	0.06	0.44	2.82	4.24	0.00	1.29	24	36	0	11	0	0	0	0	0	0.00	0.00	0.00	0.00
es.hskfree.ap	47	0.03	0.03	0.03	0.00	0.00	0.00	0.61	0.03	0.03	0.48	3.11	0.00	0.00	21.66	73	0	0	509	0	0	0	0	0	0.00	0.00	0.00	0.00
aize.corp.actionouverite	3	0.42	0.42	0.42	0.00	0.00	0.00	1.00	1.00	1.00	1.00	2.00	2.00	2.00	2.00	3	3	3	3	0	0	0	0	0	0.00	0.00	0.00	0.00
com.doapps.android.mln.MLN_56f3c049ba89c57640372f6b0c8fcdb4	24	0.03	0.03	0.03	0.00	0.00	0.00	0.73	0.03	0.03	0.22	3.42	0.00	0.00	17.67	41	0	0	212	0	0	0	0	0	0.00	0.00	0.00	0.00
com.devsby.jeson	1	0.75	0.75	0.75	0.00	0.00	0.00	0.75	0.75	0.75	0.75	0.00	0.00	0.00	0.00	0	0	0	0	0	0	0	0	0	0.00	0.00	0.00	0.00
tv.wuaki	35	0.08	0.08	0.08	0.00	0.00	0.00	0.57	0.08	0.08	0.15	6.17	0.00	0.00	0.40	108	0	0	7	0	0	0	0	0	0.00	0.00	0.00	0.00
com.comunicarusapp	7	0.18	0.18	0.18	0.00	0.00	0.00	0.29	0.25	0.25	0.18	0.29	1.14	1.14	0.00	1	4	4	0	0	0	0	0	0	0.00	0.00	0.00	0.00
com.courses.virajetech	53	0.04	0.04	0.04	0.00	0.00	0.00	0.47	0.04	0.04	0.15	2.45	0.00	0.00	0.87	65	0	0	23	0	0	0	0	0	0.00	0.00	0.00	0.00
ne.customer_app	1	0.75	0.75	0.75	0.00	0.00	0.00	0.75	0.75	0.75	0.75	0.00	0.00	0.00	0.00	0	0	0	0	0	0	0	0	0	0.00	0.00	0.00	0.00
ca.ICCBotbenefits.mobile	1	0.75	0.75	0.75	0.00	0.00	0.00	0.75	0.75	0.75	0.75	0.00	0.00	0.00	0.00	0	0	0	0	0	0	0	0	0	0.00	0.00	0.00	0.00
mtda.rpaynativeandroid	105	0.01	0.01	0.01	0.00	0.00	0.00	0.62	0.01	0.01	0.79	5.31	0.00	0.00	127.05	279	0	0	6670	0	0	0	0	0	0.00	0.00	0.00	0.00
fr.karos.karos.app	108	0.02	0.02	0.02	0.00	0.00	0.00	0.31	0.02	0.02	0.26	6.91	0.00	0.00	3.33	373	0	0	180	0	0	0	0	0	0.00	0.00	0.00	0.00
com.cleanmaster.mguard	283	0.05	0.05	0.05	0.00	0.00	0.00	0.06	0.05	0.05	0.05	0.04	0.00	0.00	0.00	5	0	0	0	0	0	0	0	0	0.00	0.00	0.00	0.00
learnelectricity.aprenderelectricidad.aprendaelectricidade	18	0.11	0.11	0.11	0.00	0.00	0.00	0.29	0.11	0.11	0.11	1.11	0.00	0.00	0.00	10	0	0	0	0	0	0	0	0	0.00	0.00	0.00	0.00
ltd.pte.wavea.strangehouse	3	0.33	0.33	0.33	0.00	0.00	0.00	0.33	0.42	0.42	0.33	0.00	0.67	0.67	0.00	0	1	1	0	0	0	0	0	0	0.00	0.00	0.00	0.00
com.dzakialabror.mp3item2	34	0.03	0.03	0.03	0.00	0.00	0.00	0.25	0.03	0.03	0.13	1.41	0.00	0.00	0.82	24	0	0	14	0	0	0	0	0	0.00	0.00	0.00	0.00
hr.apps.n1021909	21	0.07	0.07	0.07	0.00	0.00	0.00	0.57	0.30	0.07	0.08	2.00	1.71	0.00	0.10	21	18	0	1	0	0	0	0	0	0.00	0.00	0.00	0.00
com.cm_prod.epasal	19	0.04	0.04	0.04	0.00	0.00	0.00	0.11	0.28	0.04	0.29	0.11	1.89	0.00	3.79	1	18	0	36	0	0	0	0	0	0.00	0.00	0.00	0.00
brunnlechner.gps.zeiterfassung	19	0.08	0.08	0.08	0.00	0.00	0.00	0.18	0.26	0.26	0.08	0.84	5.37	5.37	0.00	8	51	51	0	0	0	0	0	0	0.00	0.00	0.00	0.00
cityguide.probki.net	2	0.38	0.38	0.38	0.00	0.00	0.00	0.50	0.38	0.38	0.38	1.00	0.00	0.00	0.00	1	0	0	0	0	0	0	0	0	0.00	0.00	0.00	0.00
raven.scanner3	2	0.38	0.38	0.38	0.00	0.00	0.00	0.38	0.38	0.38	0.38	0.00	0.00	0.00	0.00	0	0	0	0	0	0	0	0	0	0.00	0.00	0.00	0.00
com.dianxinos.optimizer.duplay	0	NaN	NaN	NaN	0.00	0.00	0.00	NaN	NaN	NaN	NaN	0.00	0.00	0.00	0.00	0	0	0	0	0	0	0	0	0	0.00	0.00	0.00	0.00
co.remotephilips.remote.philips.apps6	13	0.08	0.08	0.08	0.00	0.00	0.00	0.63	0.08	0.08	0.21	1.23	0.00	0.00	1.38	8	0	0	9	0	0	0	0	0	0.00	0.00	0.00	0.00
net.nextsunday.livingagoodlife	31	0.09	0.09	0.09	0.00	0.00	0.00	0.30	0.09	0.09	0.19	1.68	0.00	0.00	1.16	26	0	0	18	0	0	0	0	0	0.00	0.00	0.00	0.00
ru.auto.ara	129	0.08	0.08	0.08	0.00	0.00	0.00	0.08	0.09	0.09	0.08	0.00	0.03	0.03	0.00	0	2	2	0	0	0	0	0	0	0.00	0.00	0.00	0.00
com.appaty.ryl294	15	0.05	0.05	0.05	0.00	0.00	0.00	0.35	0.05	0.05	0.35	1.87	0.00	0.00	3.73	14	0	0	28	0	0	0	0	0	0.00	0.00	0.00	0.00
ieltsvocab.academic	9	0.08	0.08	0.08	0.00	0.00	0.00	0.78	0.08	1.00	0.78	1.78	0.00	8.00	1.78	8	0	36	8	0	0	0	0	0	0.00	0.00	0.00	0.00
br.com.comunidadesmobile_bessa	201	0.01	0.01	0.01	0.00	0.00	0.00	0.23	0.01	0.01	0.08	3.10	0.00	0.00	0.74	312	0	0	74	0	0	0	0	0	0.00	0.00	0.00	0.00
com.andromo.dev529694.app584097	17	0.06	0.06	0.06	0.00	0.00	0.00	0.37	0.29	0.06	0.13	3.06	2.24	0.00	0.12	26	19	0	1	0	0	0	0	0	0.00	0.00	0.00	0.00
eu.kudan.kudansamples	2	0.38	0.38	0.38	0.00	0.00	0.00	1.00	0.38	1.00	1.00	1.00	0.00	1.00	1.00	1	0	1	1	0	0	0	0	0	0.00	0.00	0.00	0.00
admobileapps.kpopmp3	107	0.02	0.02	0.02	0.00	0.00	0.00	0.65	0.02	0.02	0.68	18.07	0.00	0.00	77.16	967	0	0	4128	0	0	0	0	0	0.00	0.00	0.00	0.00
fr.acetelecom.monavenir	4	0.31	0.31	0.31	0.00	0.00	0.00	0.44	0.50	0.50	0.31	0.50	0.50	0.50	0.00	1	1	1	0	0	0	0	0	0	0.00	0.00	0.00	0.00
com.conduit.app_62e5eaa3bfeb4a0c89cf6042edc78bd1.app	21	0.07	0.07	0.07	0.00	0.00	0.00	0.30	0.18	0.07	0.07	1.05	0.38	0.00	0.00	11	4	0	0	0	0	0	0	0	0.00	0.00	0.00	0.00
com.careersouth.jobssa	56	0.04	0.04	0.04	0.00	0.00	0.00	0.37	0.04	0.04	0.21	1.54	0.00	0.00	0.89	43	0	0	25	0	0	0	0	0	0.00	0.00	0.00	0.00
net.rention.mind.skillz	26	0.03	0.03	0.03	0.00	0.00	0.00	0.08	0.03	0.08	0.08	0.08	0.00	0.08	0.08	1	0	1	1	0	0	0	0	0	0.00	0.00	0.00	0.00
com.android.stock	83	0.03	0.03	0.03	0.00	0.00	0.00	0.66	0.03	0.03	0.03	2.89	0.00	0.00	0.00	120	0	0	0	0	0	0	0	0	0.00	0.00	0.00	0.00
com.conduit.app_0731d0d00abf4ba097b40cf6706d2e1c.app	15	0.08	0.08	0.08	0.00	0.00	0.00	0.32	0.20	0.08	0.08	1.07	0.27	0.00	0.00	8	2	0	0	0	0	0	0	0	0.00	0.00	0.00	0.00
mi.mundo22	84	0.03	0.03	0.03	0.00	0.00	0.00	0.13	0.03	0.03	0.03	0.43	0.00	0.00	0.00	18	0	0	0	0	0	0	0	0	0.00	0.00	0.00	0.00
twinklestudio.megadropper4map	45	0.03	0.03	0.03	0.00	0.00	0.00	0.14	0.06	0.03	0.33	0.49	0.13	0.00	3.24	11	3	0	73	0	0	0	0	0	0.00	0.00	0.00	0.00
auto.app.cut	9	0.08	0.08	0.08	0.00	0.00	0.00	0.89	0.08	0.92	0.28	2.22	0.00	2.44	1.78	10	0	11	8	0	0	0	0	0	0.00	0.00	0.00	0.00
smartgr.wrist.tattoos	20	0.04	0.04	0.04	0.00	0.00	0.00	0.30	0.04	0.04	0.30	2.60	0.00	0.00	3.90	26	0	0	39	0	0	0	0	0	0.00	0.00	0.00	0.00
com.appsdv.smsmefitr	15	0.10	0.10	0.10	0.00	0.00	0.00	0.53	0.10	0.10	0.22	1.47	0.00	0.00	0.27	11	0	0	2	0	0	0	0	0	0.00	0.00	0.00	0.00
sharaaninfo.ICCBotJewel	11	0.16	0.16	0.16	0.00	0.00	0.00	0.66	0.30	0.16	0.55	2.91	0.91	0.00	2.36	16	5	0	13	0	0	0	0	0	0.00	0.00	0.00	0.00
uc.smartpp.dollwallpaperhd	7	0.14	0.14	0.14	0.00	0.00	0.00	0.43	0.14	0.14	0.14	0.86	0.00	0.00	0.00	3	0	0	0	0	0	0	0	0	0.00	0.00	0.00	0.00
org.jpcheney.koikonmange	3	0.25	0.25	0.25	0.00	0.00	0.00	0.67	0.67	0.67	0.67	0.67	0.67	0.67	0.67	1	1	1	1	0	0	0	0	0	0.00	0.00	0.00	0.00
com.classicart.photo.frames.brokenheart	14	0.07	0.07	0.07	0.00	0.00	0.00	0.66	0.55	0.55	0.32	1.86	3.71	3.71	0.71	13	26	26	5	0	0	0	0	0	0.00	0.00	0.00	0.00
com.chaozhuo.filemanager	38	0.08	0.08	0.08	0.00	0.00	0.00	0.46	0.08	0.08	0.21	1.95	0.00	0.00	0.32	37	0	0	6	0	0	0	0	0	0.00	0.00	0.00	0.00
com.amazon.shopperpanel.android.mobile.app	8	0.22	0.22	0.22	0.00	0.00	0.00	0.22	0.22	0.22	0.22	0.00	0.00	0.00	0.00	0	0	0	0	0	0	0	0	0	0.00	0.00	0.00	0.00
com.bodacious.dayreminder	5	0.30	0.30	0.30	0.00	0.00	0.00	0.90	0.30	0.30	0.30	2.00	0.00	0.00	0.00	5	0	0	0	0	0	0	0	0	0.00	0.00	0.00	0.00
sk.jfox.i3dmap.southsudan	11	0.09	0.09	0.09	0.00	0.00	0.00	0.91	0.91	0.91	0.45	3.45	1.82	1.82	2.55	19	10	10	14	0	0	0	0	0	0.00	0.00	0.00	0.00
com.dev3factory.shinbiApart	15	0.02	0.02	0.02	0.00	0.00	0.00	0.08	0.02	0.02	0.05	0.27	0.00	0.00	0.13	2	0	0	1	0	0	0	0	0	0.00	0.00	0.00	0.00
com.bzoo.messenger	17	0.15	0.15	0.15	0.00	0.00	0.00	0.63	0.63	0.15	0.51	3.88	6.59	0.00	5.53	33	56	0	47	0	0	0	0	0	0.00	0.00	0.00	0.00
com.app.hitbeat	19	0.09	0.09	0.09	0.00	0.00	0.00	0.46	0.09	0.09	0.18	2.21	0.00	0.00	0.53	21	0	0	5	0	0	0	0	0	0.00	0.00	0.00	0.00
air.com.nisan.synagogue	4	0.31	0.31	0.31	0.00	0.00	0.00	0.31	0.50	0.50	0.31	0.00	0.50	0.50	0.00	0	1	1	0	0	0	0	0	0	0.00	0.00	0.00	0.00
ringtone.maker.audio.editor.mp3.cutter	25	0.06	0.06	0.06	0.00	0.00	0.00	0.32	0.06	0.06	0.18	2.56	0.00	0.00	0.64	32	0	0	8	0	0	0	0	0	0.00	0.00	0.00	0.00
kr.co.superapp.license01015004f	12	0.08	0.08	0.08	0.00	0.00	0.00	0.88	0.73	0.88	0.67	4.33	4.50	6.83	3.67	26	27	41	22	0	0	0	0	0	0.00	0.00	0.00	0.00
com.crochetpatternwomencardigan.app1	22	0.03	0.03	0.03	0.00	0.00	0.00	0.32	0.03	0.03	0.32	3.09	0.00	0.00	4.64	34	0	0	51	0	0	0	0	0	0.00	0.00	0.00	0.00
co.phigames.paulinarubiogame	4	0.19	0.19	0.19	0.00	0.00	0.00	1.00	1.00	1.00	1.00	2.00	2.00	2.00	2.00	4	4	4	4	0	0	0	0	0	0.00	0.00	0.00	0.00
suarez.colorpersonality.web135	19	0.08	0.08	0.08	0.00	0.00	0.00	0.63	0.72	0.08	0.14	2.11	5.89	0.00	0.11	20	56	0	1	0	0	0	0	0	0.00	0.00	0.00	0.00
com.desoline.android.pdfreader	40	0.06	0.06	0.06	0.00	0.00	0.00	0.44	0.06	0.06	0.33	3.15	0.00	0.00	2.60	63	0	0	52	0	0	0	0	0	0.00	0.00	0.00	0.00
nz.co.solnetsolutions.mobile.fonterra.dqmsApp	1	0.75	0.75	0.75	0.00	0.00	0.00	0.75	0.75	0.75	0.75	0.00	0.00	0.00	0.00	0	0	0	0	0	0	0	0	0	0.00	0.00	0.00	0.00
com.app4joy.france_free	9	0.14	0.14	0.14	0.00	0.00	0.00	0.94	0.92	0.92	0.47	2.00	1.78	1.78	0.89	9	8	8	4	0	0	0	0	0	0.00	0.00	0.00	0.00
com.appetals.mockrabbit	30	0.05	0.05	0.05	0.00	0.00	0.00	0.68	0.05	0.05	0.50	3.87	0.00	0.00	10.40	58	0	0	156	0	0	0	0	0	0.00	0.00	0.00	0.00
com.cubegroceryx.user	136	0.02	0.02	0.02	0.00	0.00	0.00	0.74	0.02	0.02	0.72	6.32	0.00	0.00	138.56	430	0	0	9422	0	0	0	0	0	0.00	0.00	0.00	0.00
torrentsearch.app.com.torrentsearch	3	0.33	0.33	0.33	0.00	0.00	0.00	0.75	0.33	0.33	0.33	0.67	0.00	0.00	0.00	1	0	0	0	0	0	0	0	0	0.00	0.00	0.00	0.00
reader.your.all.document.viewer	5	0.20	0.20	0.20	0.00	0.00	0.00	0.45	0.20	0.20	0.55	1.20	0.00	0.00	3.20	3	0	0	8	0	0	0	0	0	0.00	0.00	0.00	0.00
com.calucky.studio.zumba.deluxe	19	0.08	0.08	0.08	0.00	0.00	0.00	0.11	0.08	0.08	0.08	0.11	0.00	0.00	0.00	1	0	0	0	0	0	0	0	0	0.00	0.00	0.00	0.00
ru.rivendel.zen.free	2	0.50	0.50	0.50	0.00	0.00	0.00	0.75	0.50	0.50	0.50	2.00	0.00	0.00	0.00	2	0	0	0	0	0	0	0	0	0.00	0.00	0.00	0.00
au.com.radio2csfm	35	0.04	0.04	0.04	0.00	0.00	0.00	0.40	0.04	0.04	0.04	3.20	0.00	0.00	0.00	56	0	0	0	0	0	0	0	0	0.00	0.00	0.00	0.00
fr.funssoft.apps.salatjanaza	1	0.75	0.75	0.75	0.00	0.00	0.00	0.75	0.75	0.75	0.75	0.00	0.00	0.00	0.00	0	0	0	0	0	0	0	0	0	0.00	0.00	0.00	0.00
mehrgan.app.Background_Maker	17	0.10	0.10	0.10	0.00	0.00	0.00	0.50	0.10	0.10	0.29	1.18	0.00	0.00	0.35	10	0	0	3	0	0	0	0	0	0.00	0.00	0.00	0.00
com.covve.businesscardscanner	12	0.13	0.13	0.13	0.00	0.00	0.00	0.25	0.13	0.13	0.19	0.67	0.00	0.00	0.17	4	0	0	1	0	0	0	0	0	0.00	0.00	0.00	0.00
com.a106570479534ed09a995b94a.a74067259a	4	0.19	0.19	0.19	0.00	0.00	0.00	0.19	0.19	0.19	0.19	0.00	0.00	0.00	0.00	0	0	0	0	0	0	0	0	0	0.00	0.00	0.00	0.00
io.kodular.ahmedkarundawala245.Font_Generator	12	0.08	0.08	0.08	0.00	0.00	0.00	0.21	0.08	0.08	0.08	0.67	0.00	0.00	0.00	4	0	0	0	0	0	0	0	0	0.00	0.00	0.00	0.00
ir.remote.control.samsung.smart.tv.wifi	10	0.08	0.08	0.08	0.00	0.00	0.00	0.28	0.28	0.30	0.20	0.80	0.80	1.20	0.20	4	4	6	1	0	0	0	0	0	0.00	0.00	0.00	0.00
com.devallday.pg_game	19	0.09	0.09	0.09	0.00	0.00	0.00	0.47	0.29	0.09	0.12	2.84	1.89	0.00	0.11	27	18	0	1	0	0	0	0	0	0.00	0.00	0.00	0.00
kr.co.jeukauto.blog.webchon_jeukautoblog	1	0.75	0.75	0.75	0.00	0.00	0.00	0.75	0.75	0.75	0.75	0.00	0.00	0.00	0.00	0	0	0	0	0	0	0	0	0	0.00	0.00	0.00	0.00
com.charm.phr.customBrandedApp045	1	0.75	0.75	0.75	0.00	0.00	0.00	0.75	0.75	0.75	0.75	0.00	0.00	0.00	0.00	0	0	0	0	0	0	0	0	0	0.00	0.00	0.00	0.00
com.citrusgamesstudios.summer.splash.waterpark.slide.surfer	9	0.08	0.08	0.08	0.00	0.00	0.00	0.08	0.08	0.08	0.08	0.00	0.00	0.00	0.00	0	0	0	0	0	0	0	0	0	0.00	0.00	0.00	0.00
ng.octys.karigo	6	0.25	0.25	0.25	0.00	0.00	0.00	0.50	0.25	0.38	0.25	1.00	0.00	4.67	0.00	3	0	14	0	0	0	0	0	0	0.00	0.00	0.00	0.00
org.arkist.cnote	63	0.10	0.10	0.10	0.00	0.00	0.00	0.78	0.10	0.10	0.10	5.08	0.00	0.00	0.00	160	0	0	0	0	0	0	0	0	0.00	0.00	0.00	0.00
apps.micasarural	12	0.06	0.06	0.06	0.00	0.00	0.00	0.77	0.75	0.06	1.00	3.17	9.33	0.00	12.00	19	56	0	72	0	0	0	0	0	0.00	0.00	0.00	0.00
com.ds.avare	18	0.07	0.07	0.07	0.00	0.00	0.00	0.35	0.35	0.07	0.17	2.22	2.22	0.00	0.56	20	20	0	5	0	0	0	0	0	0.00	0.00	0.00	0.00
com.cookware.worldcusinerecipes	4	0.31	0.31	0.31	0.00	0.00	0.00	0.63	0.81	0.31	0.56	1.50	1.00	0.00	0.50	3	2	0	1	0	0	0	0	0	0.00	0.00	0.00	0.00
com.coahomaepa.smartapps	66	0.02	0.02	0.02	0.00	0.00	0.00	0.13	0.02	0.02	0.27	0.73	0.00	0.00	14.82	24	0	0	489	0	0	0	0	0	0.00	0.00	0.00	0.00
com.bistroservices.shahtaj	1	0.75	0.75	0.75	0.00	0.00	0.00	0.75	0.75	0.75	0.75	0.00	0.00	0.00	0.00	0	0	0	0	0	0	0	0	0	0.00	0.00	0.00	0.00
eu.helmchat.meet	5	0.20	0.20	0.20	0.00	0.00	0.00	0.30	0.20	0.30	0.20	1.20	0.00	0.80	0.00	3	0	2	0	0	0	0	0	0	0.00	0.00	0.00	0.00
com.completeclothingpatterns.fathir	2	0.38	0.38	0.38	0.00	0.00	0.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1	1	1	1	0	0	0	0	0	0.00	0.00	0.00	0.00
com.digidago.lms	13	0.08	0.08	0.08	0.00	0.00	0.00	0.17	0.08	0.08	0.08	0.46	0.00	0.00	0.00	3	0	0	0	0	0	0	0	0	0.00	0.00	0.00	0.00
io.loot.lootapp	112	0.02	0.02	0.02	0.00	0.00	0.00	0.17	0.02	0.02	0.60	2.29	0.00	0.00	59.50	128	0	0	3332	0	0	0	0	0	0.00	0.00	0.00	0.00
app66443.vinebre	46	0.02	0.02	0.02	0.00	0.00	0.00	0.21	0.02	0.02	0.65	2.26	0.00	0.00	37.74	52	0	0	868	0	0	0	0	0	0.00	0.00	0.00	0.00
com.bmi.calculatorplus	2	0.38	0.38	0.38	0.00	0.00	0.00	1.00	0.38	0.38	0.38	1.00	0.00	0.00	0.00	1	0	0	0	0	0	0	0	0	0.00	0.00	0.00	0.00
eu.formigas.cleverlotto.de	37	0.04	0.04	0.04	0.00	0.00	0.00	0.50	0.57	0.04	0.78	4.38	26.97	0.00	38.11	81	499	0	705	0	0	0	0	0	0.00	0.00	0.00	0.00
tw.com.pcstore.vaecbhd	1	0.75	0.75	0.75	0.00	0.00	0.00	0.75	0.75	0.75	0.75	0.00	0.00	0.00	0.00	0	0	0	0	0	0	0	0	0	0.00	0.00	0.00	0.00
com.climax.homeportal.tw	92	0.01	0.01	0.01	0.00	0.00	0.00	0.66	0.01	0.01	0.01	85.76	0.00	0.00	0.00	3945	0	0	0	0	0	0	0	0	0.00	0.00	0.00	0.00
mg.locations.track5	30	0.04	0.04	0.04	0.00	0.00	0.00	0.86	0.32	0.04	0.13	4.27	2.47	0.00	0.47	64	37	0	7	0	0	0	0	0	0.00	0.00	0.00	0.00
co.classplus.avss	73	0.03	0.03	0.03	0.00	0.00	0.00	0.58	0.03	0.03	0.13	2.88	0.00	0.00	0.55	105	0	0	20	0	0	0	0	0	0.00	0.00	0.00	0.00
com.bz.solo.theme.gray.dim	13	0.13	0.13	0.13	0.00	0.00	0.00	0.69	0.67	0.67	0.21	1.69	2.46	2.62	0.31	11	16	17	2	0	0	0	0	0	0.00	0.00	0.00	0.00
de.djkgwemst.app	20	0.08	0.08	0.08	0.00	0.00	0.00	0.83	0.60	0.08	0.41	3.00	1.20	0.00	0.70	30	12	0	7	0	0	0	0	0	0.00	0.00	0.00	0.00
air.com.jeuxdefille.ChickenCookinggame	1	0.75	0.75	0.75	0.00	0.00	0.00	0.75	0.75	0.75	0.75	0.00	0.00	0.00	0.00	0	0	0	0	0	0	0	0	0	0.00	0.00	0.00	0.00
com.bmfandroid	5	0.15	0.15	0.15	0.00	0.00	0.00	0.15	0.15	0.15	0.15	0.00	0.00	0.00	0.00	0	0	0	0	0	0	0	0	0	0.00	0.00	0.00	0.00
com.diy.allah.door.lock.screen	34	0.07	0.07	0.07	0.00	0.00	0.00	0.55	0.54	0.07	0.17	2.24	3.35	0.00	0.18	38	57	0	3	0	0	0	0	0	0.00	0.00	0.00	0.00
com.doanaikkendaraan.doadoadandoa.mesotheliomalawfirm	3	0.25	0.25	0.25	0.00	0.00	0.00	1.00	1.00	1.00	1.00	1.33	1.33	1.33	1.33	2	2	2	2	0	0	0	0	0	0.00	0.00	0.00	0.00
com.andromo.dev708372.app836763	39	0.02	0.02	0.02	0.00	0.00	0.00	0.28	0.02	0.02	0.28	1.85	0.00	0.00	3.69	36	0	0	72	0	0	0	0	0	0.00	0.00	0.00	0.00
com.angelohernfc.autentico	2	0.50	0.50	0.50	0.00	0.00	0.00	1.00	1.00	1.00	1.00	1.00	2.00	2.00	2.00	1	2	2	2	0	0	0	0	0	0.00	0.00	0.00	0.00
appinventor.ai_najih94izzan.NATASHASTPIER	2	0.50	0.50	0.50	0.00	0.00	0.00	0.50	0.50	0.50	0.50	0.00	0.00	0.00	0.00	0	0	0	0	0	0	0	0	0	0.00	0.00	0.00	0.00
ru.ostrovok.android	22	0.06	0.06	0.06	0.00	0.00	0.00	0.52	0.45	0.06	0.50	2.45	2.64	0.00	3.18	27	29	0	35	0	0	0	0	0	0.00	0.00	0.00	0.00
com.bcdstudio.gfxtoolforpubg	13	0.10	0.10	0.10	0.00	0.00	0.00	0.42	0.10	0.10	0.15	1.23	0.00	0.00	0.31	8	0	0	2	0	0	0	0	0	0.00	0.00	0.00	0.00
jp.gr.java_conf.gyojir.detouch	1	0.75	0.75	0.75	0.00	0.00	0.00	0.75	0.75	0.75	0.75	0.00	0.00	0.00	0.00	0	0	0	0	0	0	0	0	0	0.00	0.00	0.00	0.00
com.axidep.wordbook	11	0.07	0.07	0.07	0.00	0.00	0.00	1.00	0.91	0.07	0.91	4.00	4.00	0.00	5.45	22	22	0	30	0	0	0	0	0	0.00	0.00	0.00	0.00
fr.unibet.sport	17	0.07	0.07	0.07	0.00	0.00	0.00	0.38	0.07	0.07	0.15	2.24	0.00	0.00	0.24	19	0	0	2	0	0	0	0	0	0.00	0.00	0.00	0.00
air.Trapcubes	1	0.75	0.75	0.75	0.00	0.00	0.00	0.75	0.75	0.75	0.75	0.00	0.00	0.00	0.00	0	0	0	0	0	0	0	0	0	0.00	0.00	0.00	0.00
itgeeks.gujratigk	6	0.13	0.13	0.13	0.00	0.00	0.00	1.00	1.00	0.13	0.25	1.67	3.00	0.00	0.67	5	9	0	2	0	0	0	0	0	0.00	0.00	0.00	0.00
com.ahihi.photo.collage	6	0.13	0.13	0.13	0.00	0.00	0.00	1.00	0.13	0.13	0.29	2.00	0.00	0.00	1.00	6	0	0	3	0	0	0	0	0	0.00	0.00	0.00	0.00
com.app.prankies.waterfalllivewallpaper	4	0.31	0.31	0.31	0.00	0.00	0.00	0.81	0.31	0.44	0.81	1.50	0.00	0.50	2.00	3	0	1	4	0	0	0	0	0	0.00	0.00	0.00	0.00
air.mwe.kingcastleshootinggames	1	0.75	0.75	0.75	0.00	0.00	0.00	0.75	0.75	0.75	0.75	0.00	0.00	0.00	0.00	0	0	0	0	0	0	0	0	0	0.00	0.00	0.00	0.00
com.amirashraf.kidssongs	22	0.07	0.07	0.07	0.00	0.00	0.00	0.64	0.13	0.07	0.17	2.09	0.36	0.00	0.18	23	4	0	2	0	0	0	0	0	0.00	0.00	0.00	0.00
ofmonsterandmenlittletalks.frybrain.zzz	3	0.25	0.25	0.25	0.00	0.00	0.00	0.67	1.00	1.00	0.25	0.67	4.00	4.00	0.00	1	6	6	0	0	0	0	0	0	0.00	0.00	0.00	0.00
co.april2019.spe	215	0.03	0.03	0.03	0.00	0.00	0.00	0.30	0.03	0.03	0.03	4.11	0.00	0.00	0.00	442	0	0	0	0	0	0	0	0	0.00	0.00	0.00	0.00
com.app.app0e87ec29c687	63	0.04	0.04	0.04	0.00	0.00	0.00	0.71	0.04	0.04	0.28	1.87	0.00	0.00	1.24	59	0	0	39	0	0	0	0	0	0.00	0.00	0.00	0.00
is.stokkur.afladagbok.android	7	0.14	0.14	0.14	0.00	0.00	0.00	0.75	0.32	0.14	0.32	1.43	0.29	0.00	0.29	5	1	0	1	0	0	0	0	0	0.00	0.00	0.00	0.00
com.catpainting	9	0.11	0.11	0.11	0.00	0.00	0.00	0.58	0.58	0.92	0.69	1.11	4.67	5.56	1.33	5	21	25	6	0	0	0	0	0	0.00	0.00	0.00	0.00
com.bhappdevelopment.davemace	37	0.04	0.04	0.04	0.00	0.00	0.00	0.66	0.04	0.04	0.17	4.43	0.00	0.00	4.43	82	0	0	82	0	0	0	0	0	0.00	0.00	0.00	0.00
nlp.untad.stat	1	0.75	0.75	0.75	0.00	0.00	0.00	0.75	0.75	0.75	0.75	0.00	0.00	0.00	0.00	0	0	0	0	0	0	0	0	0	0.00	0.00	0.00	0.00
ru.horoscope.tm.sagittarius	12	0.17	0.17	0.17	0.00	0.00	0.00	0.38	0.17	0.17	0.27	0.67	0.00	0.00	0.17	4	0	0	1	0	0	0	0	0	0.00	0.00	0.00	0.00
es.igarcias.gw3ds_loader	5	0.15	0.15	0.15	0.00	0.00	0.00	1.00	1.00	1.00	1.00	2.40	2.40	2.40	2.40	6	6	6	6	0	0	0	0	0	0.00	0.00	0.00	0.00
