	#Component	completeness			connectivity			completeness				connectivity				edge Num				oracle	#false negative 				false negative rate			
		dynamic	manual	whole	dynamic	manual	whole	ICCBot	IC3	IC3-dial	Gator	ICCBot	IC3	IC3-dial	Gator	ICCBot	IC3	IC3-dial	Gator	whole	ICCBot	IC3	IC3-dial	Gator	ICCBot	IC3	IC3-dial	Gator
br.com.calculacaixa	1	0.75	0.75	0.75	0.00	0.00	0.00	0.75	0.75	0.75	0.75	0.00	0.00	0.00	0.00	0	0	0	0	0	0	0	0	0	0.00	0.00	0.00	0.00
com.davisinstruments.weatherlink	9	0.11	0.11	0.11	0.00	0.00	0.00	0.36	0.22	0.22	0.11	4.67	1.78	1.78	0.00	21	8	8	0	0	0	0	0	0	0.00	0.00	0.00	0.00
pattent_sharing_aos.smartteeam.gdt.com.livechat	5	0.20	0.20	0.20	0.00	0.00	0.00	0.85	0.20	0.20	0.40	3.20	0.00	0.00	0.40	8	0	0	1	0	0	0	0	0	0.00	0.00	0.00	0.00
fr.ives.djanah	37	0.03	0.03	0.03	0.00	0.00	0.00	0.32	0.17	0.03	0.08	2.22	0.97	0.00	0.16	41	18	0	3	0	0	0	0	0	0.00	0.00	0.00	0.00
digital.tamil.moviesongs.best.collection	17	0.09	0.09	0.09	0.00	0.00	0.00	0.47	0.09	0.09	0.12	1.76	0.00	0.00	0.12	15	0	0	1	0	0	0	0	0	0.00	0.00	0.00	0.00
jack.martin.ICCBotkeyboard.ICCBotphotokeyboard.kitty	5	0.15	0.15	0.15	0.00	0.00	0.00	0.15	0.40	0.40	0.15	0.00	0.40	0.40	0.00	0	1	1	0	0	0	0	0	0	0.00	0.00	0.00	0.00
io.getbound.prod	51	0.06	0.06	0.06	0.00	0.00	0.00	0.34	0.06	0.06	0.13	1.96	0.00	0.00	0.47	50	0	0	12	0	0	0	0	0	0.00	0.00	0.00	0.00
mmappszone.sabinayasminsuperhitsongs	14	0.05	0.05	0.05	0.00	0.00	0.00	1.00	0.14	0.05	0.27	3.14	0.29	0.00	1.57	22	2	0	11	0	0	0	0	0	0.00	0.00	0.00	0.00
it.stany.gravitysprint	10	0.10	0.10	0.10	0.00	0.00	0.00	0.52	0.10	0.10	0.55	2.40	0.00	0.00	1.00	12	0	0	5	0	0	0	0	0	0.00	0.00	0.00	0.00
com.americanexpress.android.acctsvcs.fr	182	0.01	0.01	0.01	0.00	0.00	0.00	0.04	0.01	0.01	0.01	0.15	0.00	0.00	0.00	14	0	0	0	0	0	0	0	0	0.00	0.00	0.00	0.00
com.dev.chehiwat.maghribia.bledna	4	0.25	0.25	0.25	0.00	0.00	0.00	0.81	0.38	0.38	0.25	1.00	0.50	0.50	0.00	2	1	1	0	0	0	0	0	0	0.00	0.00	0.00	0.00
com.crowdcomms.nikeportal	15	0.12	0.12	0.12	0.00	0.00	0.00	0.33	0.12	0.12	0.12	1.33	0.00	0.00	0.00	10	0	0	0	0	0	0	0	0	0.00	0.00	0.00	0.00
com.dynamicmarkets.us.freebierocket	36	0.06	0.06	0.06	0.00	0.00	0.00	0.42	0.06	0.06	0.37	7.50	0.00	0.00	8.00	135	0	0	144	0	0	0	0	0	0.00	0.00	0.00	0.00
com.app.seleniuminterviewquestions	8	0.09	0.09	0.09	0.00	0.00	0.00	0.28	0.09	0.09	0.25	0.50	0.00	0.00	0.50	2	0	0	2	0	0	0	0	0	0.00	0.00	0.00	0.00
com.appbecho.kixra	19	0.08	0.08	0.08	0.00	0.00	0.00	0.83	0.08	0.08	0.41	2.53	0.00	0.00	0.63	24	0	0	6	0	0	0	0	0	0.00	0.00	0.00	0.00
