		callBack	staticCB	dynamicCB	implicitCB	atypicalICC	implicitICC	stringOp	staticVal	callContext	async	polym	nonAct	dynamicBC	fragment	adapter	widget	otherClass	isLibraryInvocation	staticCBOnly	dynamicCBOnly	implicitCBonly	atypicalICCOnly	implicitICCOnly	stringOpOnly	staticValOnly	callContextOnly	asyncOnly	polymOnly	nonActonly	dynamicBCOnly	fragmentOnly	adapterOnly	widgetOnly	otherClassOnly	libraryonly
ch.hgdev.toposuite	IC3         	441	0	441	336	0	0	0	0	0	0	441	0	0	0	441	0	441	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ch.hgdev.toposuite	IC3Dial     	441	0	441	336	0	0	0	0	0	0	441	0	0	0	441	0	441	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ch.hgdev.toposuite	Gator         	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ch.hgdev.toposuite	A3E         	441	0	441	336	0	0	0	0	0	0	441	0	0	0	441	0	441	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ch.hgdev.toposuite	Story         	441	0	441	336	0	0	0	0	0	0	441	0	0	0	441	0	441	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
com.farmerbb.taskbar	oracle       	12	0	12	3	2	5	0	0	6	6	0	24	5	3	0	0	4	0	0	0	0	2	5	0	0	1	1	0	13	0	3	0	0	0	0
com.farmerbb.taskbar	ICCBot      	1	0	1	0	1	3	0	0	1	3	0	7	3	0	0	0	1	0	0	0	0	1	3	0	0	0	1	0	3	0	0	0	0	0	0
com.farmerbb.taskbar	IC3         	11	0	11	2	2	3	0	0	3	4	0	17	5	3	0	0	1	0	0	0	0	2	3	0	0	1	1	0	9	0	3	0	0	0	0
com.farmerbb.taskbar	IC3Dial     	11	0	11	2	2	3	0	0	3	4	0	17	5	3	0	0	1	0	0	0	0	2	3	0	0	1	1	0	9	0	3	0	0	0	0
com.farmerbb.taskbar	Gator         	12	0	12	3	2	5	0	0	6	6	0	24	5	3	0	0	4	0	0	0	0	2	5	0	0	1	1	0	13	0	3	0	0	0	0
com.farmerbb.taskbar	A3E         	7	0	7	2	0	5	0	0	3	2	0	11	5	3	0	0	1	0	0	0	0	0	5	0	0	1	1	0	3	0	3	0	0	0	0
com.farmerbb.taskbar	Story         	7	0	7	2	0	5	0	0	6	4	0	20	5	3	0	0	4	0	0	0	0	0	5	0	0	1	1	0	11	0	3	0	0	0	0
com.oriondev.moneywallet	oracle       	50	0	26	47	0	0	0	0	18	0	4	0	0	20	1	0	17	13	0	2	3	0	0	0	0	1	0	4	0	2	1	1	0	0	10
com.oriondev.moneywallet	ICCBot      	27	0	10	26	0	0	0	0	17	0	2	0	0	20	0	0	6	10	0	0	0	0	0	0	0	0	0	2	0	0	1	0	0	0	7
com.oriondev.moneywallet	IC3         	39	0	23	38	0	0	0	0	15	0	2	0	0	17	1	0	17	10	0	0	0	0	0	0	0	1	0	2	0	0	1	1	0	0	7
com.oriondev.moneywallet	IC3Dial     	50	0	26	47	0	0	0	0	18	0	4	0	0	20	1	0	17	13	0	2	3	0	0	0	0	1	0	4	0	2	1	1	0	0	10
com.oriondev.moneywallet	Gator         	43	0	19	43	0	0	0	0	18	0	2	0	0	20	0	0	16	10	0	0	3	0	0	0	0	1	0	2	0	0	1	0	0	0	7
com.oriondev.moneywallet	A3E         	49	0	25	47	0	0	0	0	18	0	4	0	0	20	1	0	17	13	0	1	3	0	0	0	0	1	0	4	0	1	1	1	0	0	10
com.oriondev.moneywallet	Story         	40	0	23	39	0	0	0	0	17	0	4	0	0	20	0	0	16	10	0	0	0	0	0	0	0	0	0	4	0	0	1	0	0	0	7
Conversations	oracle       	47	1	27	26	1	0	0	0	14	6	8	6	0	11	1	0	16	0	0	14	10	0	0	0	0	0	0	7	1	14	1	0	0	0	0
Conversations	ICCBot      	3	1	2	1	0	0	0	0	2	2	0	0	0	3	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0
Conversations	IC3Dial     	47	1	27	26	1	0	0	0	14	6	8	6	0	11	1	0	16	0	0	14	10	0	0	0	0	0	0	7	1	14	1	0	0	0	0
Conversations	Gator         	19	1	11	12	1	0	0	0	11	4	0	6	0	7	1	0	10	0	0	4	3	0	0	0	0	0	0	0	1	4	1	0	0	0	0
Conversations	A3E         	47	1	27	26	1	0	0	0	14	6	8	6	0	11	1	0	16	0	0	14	10	0	0	0	0	0	0	7	1	14	1	0	0	0	0
Conversations	Story         	28	1	14	20	1	0	0	0	14	6	8	6	0	11	1	0	16	0	0	1	4	0	0	0	0	0	0	7	1	1	1	0	0	0	0
CSipSimple	oracle       	20	4	7	15	3	6	0	6	2	6	1	6	0	9	3	0	6	0	0	2	4	1	0	0	0	0	0	0	2	2	4	0	0	0	0
CSipSimple	ICCBot      	3	0	1	2	2	1	0	1	1	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
CSipSimple	IC3         	17	4	6	13	3	3	0	3	2	3	1	1	0	9	3	0	5	0	0	2	3	1	0	0	0	0	0	0	0	2	4	0	0	0	0
CSipSimple	IC3Dial     	20	4	7	15	3	6	0	6	2	6	1	6	0	9	3	0	6	0	0	2	4	1	0	0	0	0	0	0	2	2	4	0	0	0	0
