		callBack	staticCB	dynamicCB	implicitCB	atypicalICC	implicitICC	stringOp	staticVal	callContext	async	polym	nonAct	dynamicBC	fragment	adapter	widget	otherClass	isLibraryInvocation	staticCBOnly	dynamicCBOnly	implicitCBonly	atypicalICCOnly	implicitICCOnly	stringOpOnly	staticValOnly	callContextOnly	asyncOnly	polymOnly	nonActonly	dynamicBCOnly	fragmentOnly	adapterOnly	widgetOnly	otherClassOnly	libraryonly
org.smssecure.smssecure	IC3Dial     	34	0	18	20	0	0	0	0	8	4	16	5	0	13	8	0	0	0	0	2	12	0	0	0	0	3	2	3	3	2	0	1	0	0	0
org.smssecure.smssecure	Gator         	19	0	11	12	0	0	0	0	4	3	12	5	0	9	7	0	0	0	0	0	5	0	0	0	0	1	2	3	3	0	0	1	0	0	0
org.smssecure.smssecure	A3E         	28	0	14	18	0	0	0	0	5	3	14	3	0	12	8	0	0	0	0	0	11	0	0	0	0	1	1	3	1	0	0	1	0	0	0
org.smssecure.smssecure	Story         	15	0	11	5	0	0	0	0	7	2	12	4	0	9	6	0	0	0	0	0	3	0	0	0	0	2	0	3	2	0	0	1	0	0	0
org.tasks	oracle       	35	12	16	11	15	0	0	0	2	2	2	21	0	2	0	2	22	1	0	9	4	13	0	0	0	0	2	2	17	9	1	0	0	0	1
org.tasks	ICCBot      	19	11	6	4	11	0	0	0	0	0	2	4	0	0	0	1	5	1	0	3	2	11	0	0	0	0	0	2	3	3	0	0	0	0	1
org.tasks	IC3         	25	12	9	7	15	0	0	0	1	2	2	20	0	1	0	2	22	1	0	3	2	13	0	0	0	0	2	2	16	3	1	0	0	0	1
org.tasks	IC3Dial     	35	12	16	11	15	0	0	0	2	2	2	21	0	2	0	2	22	1	0	9	4	13	0	0	0	0	2	2	17	9	1	0	0	0	1
org.tasks	Gator         	28	12	13	7	15	0	0	0	1	2	0	21	0	1	0	2	22	1	0	6	1	13	0	0	0	0	2	0	17	6	1	0	0	0	1
org.tasks	A3E         	25	12	8	8	14	0	0	0	2	2	2	21	0	2	0	2	22	1	0	3	2	12	0	0	0	0	2	2	17	3	1	0	0	0	1
org.tasks	Story         	33	12	15	9	15	0	0	0	2	2	2	21	0	2	0	2	22	1	0	9	3	13	0	0	0	0	2	2	17	9	1	0	0	0	1
Padland	oracle       	17	6	4	9	3	0	0	0	0	2	7	0	0	3	0	0	0	0	3	2	0	0	0	0	0	0	2	7	0	2	0	0	0	0	0
Padland	ICCBot      	3	3	0	0	3	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Padland	IC3         	15	6	2	7	3	0	0	0	0	2	7	0	0	3	0	0	0	0	3	2	0	0	0	0	0	0	2	7	0	2	0	0	0	0	0
Padland	IC3Dial     	15	6	2	7	3	0	0	0	0	2	7	0	0	3	0	0	0	0	3	2	0	0	0	0	0	0	2	7	0	2	0	0	0	0	0
Padland	Gator         	4	3	1	0	3	0	0	0	0	2	0	0	0	3	0	0	0	0	0	1	0	0	0	0	0	0	2	0	0	1	0	0	0	0	0
Padland	A3E         	17	6	4	9	3	0	0	0	0	2	7	0	0	3	0	0	0	0	3	2	0	0	0	0	0	0	2	7	0	2	0	0	0	0	0
Padland	Story         	10	3	0	7	3	0	0	0	0	0	7	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	7	0	0	0	0	0	0	0
PassAndroid	oracle       	11	1	7	9	0	0	0	0	8	1	2	1	0	4	1	0	2	7	0	1	1	0	0	0	0	1	1	0	1	1	1	0	0	0	0
PassAndroid	ICCBot      	3	1	3	3	0	0	0	0	3	0	0	0	0	2	1	0	2	2	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
PassAndroid	IC3         	2	1	1	2	0	0	0	0	2	1	1	0	0	0	0	0	1	1	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0
PassAndroid	IC3Dial     	2	1	1	2	0	0	0	0	2	1	1	0	0	0	0	0	1	1	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0
PassAndroid	Gator         	3	1	2	2	0	0	0	0	1	1	0	1	0	0	0	0	1	0	0	1	1	0	0	0	0	1	1	0	1	1	0	0	0	0	0
PassAndroid	A3E         	8	1	5	7	0	0	0	0	8	0	2	0	0	3	1	0	2	7	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
PassAndroid	Story         	2	1	1	2	0	0	0	0	2	0	1	0	0	0	0	0	1	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
pt.joaomneto.titancompanion	oracle       	6	3	3	2	0	0	0	0	1	0	0	0	0	2	3	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
pt.joaomneto.titancompanion	ICCBot      	1	0	1	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
pt.joaomneto.titancompanion	IC3         	5	3	2	2	0	0	0	0	0	0	0	0	0	2	2	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
pt.joaomneto.titancompanion	IC3Dial     	6	3	3	2	0	0	0	0	1	0	0	0	0	2	3	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
pt.joaomneto.titancompanion	Gator         	2	0	2	0	0	0	0	0	0	0	0	0	0	2	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
pt.joaomneto.titancompanion	A3E         	3	3	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
pt.joaomneto.titancompanion	Story         	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Simple-Solitaire	oracle       	7	3	1	7	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Simple-Solitaire	ICCBot      	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Simple-Solitaire	IC3         	7	3	1	7	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Simple-Solitaire	IC3Dial     	7	3	1	7	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Simple-Solitaire	Gator         	5	1	1	5	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Simple-Solitaire	A3E         	6	3	1	6	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Simple-Solitaire	Story         	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
SteamGifts	oracle       	12	0	10	6	0	0	0	0	3	3	8	1	0	7	2	0	6	5	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0
SteamGifts	ICCBot      	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
SteamGifts	IC3         	6	0	5	4	0	0	0	0	3	2	3	1	0	5	1	0	3	1	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0
SteamGifts	IC3Dial     	6	0	5	4	0	0	0	0	3	2	3	1	0	5	1	0	3	1	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0
SteamGifts	Gator         	3	0	2	2	0	0	0	0	1	2	2	1	0	2	1	0	3	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
SteamGifts	A3E         	11	0	9	6	0	0	0	0	3	2	8	0	0	6	2	0	5	5	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0
SteamGifts	Story         	5	0	4	4	0	0	0	0	3	2	3	1	0	4	1	0	3	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0
SuntimesWidget	oracle       	22	0	16	8	1	0	0	0	2	0	12	16	0	0	2	14	1	0	0	1	5	0	0	0	0	0	0	0	0	1	0	0	0	0	0
SuntimesWidget	ICCBot      	1	0	1	0	0	0	0	0	0	0	1	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
SuntimesWidget	IC3         	3	0	3	1	1	0	0	0	0	0	2	2	0	0	1	2	1	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
SuntimesWidget	IC3Dial     	22	0	16	8	1	0	0	0	2	0	12	16	0	0	2	14	1	0	0	1	5	0	0	0	0	0	0	0	0	1	0	0	0	0	0
SuntimesWidget	Gator         	18	0	16	4	1	0	0	0	2	0	12	16	0	0	2	14	1	0	0	1	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0
SuntimesWidget	A3E         	18	0	14	5	1	0	0	0	2	0	11	14	0	0	2	12	1	0	0	1	3	0	0	0	0	0	0	0	0	1	0	0	0	0	0
SuntimesWidget	Story         	16	0	15	3	1	0	0	0	2	0	12	16	0	0	2	14	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
syncthing	oracle       	10	0	8	4	3	0	0	0	2	1	0	7	0	6	2	0	3	0	0	3	0	1	0	0	0	1	0	0	5	3	2	0	0	0	0
syncthing	ICCBot      	3	0	2	1	0	0	0	0	1	0	0	1	0	3	2	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
syncthing	Gator         	6	0	4	4	3	0	0	0	1	1	0	7	0	6	2	0	3	0	0	0	0	1	0	0	0	0	0	0	5	0	2	0	0	0	0
syncthing	A3E         	7	0	5	4	3	0	0	0	2	1	0	4	0	6	2	0	3	0	0	0	0	1	0	0	0	1	0	0	2	0	2	0	0	0	0
syncthing	Story         	5	0	3	2	3	0	0	0	2	1	0	6	0	4	2	0	3	0	0	0	0	1	0	0	0	1	0	0	4	0	0	0	0	0	0
