app	tool	common	only	last
CSipSimple	IC3&IC3dial@TP	IC3	0.00	0.28	0.72
CSipSimple	IC3&IC3dial@TP	IC3dial	0.00	0.00	1.00
CSipSimple	IC3&IC3dial@All	IC3	0.00	1.00	0.00
CSipSimple	IC3&IC3dial@All	IC3dial	0.00	0.00	1.00
CSipSimple	IC3&A3E@TP	IC3	0.12	0.16	0.72
CSipSimple	IC3&A3E@TP	A3E	0.12	0.04	0.84
CSipSimple	IC3&A3E@All	IC3	0.22	0.67	0.11
CSipSimple	IC3&A3E@All	A3E	0.22	0.11	0.67
CSipSimple	IC3&Story@TP	IC3	0.08	0.20	0.72
CSipSimple	IC3&Story@TP	Story	0.08	0.24	0.68
CSipSimple	IC3&Story@All	IC3	0.13	0.57	0.30
CSipSimple	IC3&Story@All	Story	0.13	0.30	0.57
CSipSimple	IC3&ICCBot@TP	IC3	0.28	0.00	0.72
CSipSimple	IC3&ICCBot@TP	ICCBot	0.28	0.56	0.16
CSipSimple	IC3&ICCBot@All	IC3	0.25	0.06	0.70
CSipSimple	IC3&ICCBot@All	ICCBot	0.25	0.70	0.06
CSipSimple	IC3dial&A3E@TP	IC3dial	0.00	0.00	1.00
CSipSimple	IC3dial&A3E@TP	A3E	0.00	0.16	0.84
CSipSimple	IC3dial&A3E@All	IC3dial	0.00	0.00	1.00
CSipSimple	IC3dial&A3E@All	A3E	0.00	1.00	0.00
CSipSimple	IC3dial&Story@TP	IC3dial	0.00	0.00	1.00
CSipSimple	IC3dial&Story@TP	Story	0.00	0.32	0.68
CSipSimple	IC3dial&Story@All	IC3dial	0.00	0.00	1.00
CSipSimple	IC3dial&Story@All	Story	0.00	1.00	0.00
CSipSimple	IC3dial&ICCBot@TP	IC3dial	0.00	0.00	1.00
CSipSimple	IC3dial&ICCBot@TP	ICCBot	0.00	0.84	0.16
CSipSimple	IC3dial&ICCBot@All	IC3dial	0.00	0.00	1.00
CSipSimple	IC3dial&ICCBot@All	ICCBot	0.00	1.00	0.00
CSipSimple	A3E&Story@TP	A3E	0.08	0.08	0.84
CSipSimple	A3E&Story@TP	Story	0.08	0.24	0.68
CSipSimple	A3E&Story@All	A3E	0.23	0.23	0.54
CSipSimple	A3E&Story@All	Story	0.23	0.54	0.23
CSipSimple	A3E&ICCBot@TP	A3E	0.12	0.04	0.84
CSipSimple	A3E&ICCBot@TP	ICCBot	0.12	0.72	0.16
CSipSimple	A3E&ICCBot@All	A3E	0.08	0.04	0.88
CSipSimple	A3E&ICCBot@All	ICCBot	0.08	0.88	0.04
CSipSimple	Story&ICCBot@TP	Story	0.32	0.00	0.68
CSipSimple	Story&ICCBot@TP	ICCBot	0.32	0.52	0.16
CSipSimple	Story&ICCBot@All	Story	0.20	0.00	0.80
CSipSimple	Story&ICCBot@All	ICCBot	0.20	0.80	0.00
1Sheeld	Gator&IC3@TP	Gator	0.00	0.00	1.00
1Sheeld	Gator&IC3@TP	IC3	0.00	0.33	0.67
1Sheeld	Gator&IC3@All	Gator	0.00	0.00	1.00
1Sheeld	Gator&IC3@All	IC3	0.00	1.00	0.00
1Sheeld	Gator&IC3dial@TP	Gator	0.00	0.00	1.00
1Sheeld	Gator&IC3dial@TP	IC3dial	0.00	0.33	0.67
1Sheeld	Gator&IC3dial@All	Gator	0.00	0.00	1.00
1Sheeld	Gator&IC3dial@All	IC3dial	0.00	1.00	0.00
1Sheeld	Gator&A3E@TP	Gator	0.00	0.00	1.00
1Sheeld	Gator&A3E@TP	A3E	0.00	0.50	0.50
1Sheeld	Gator&A3E@All	Gator	0.00	0.00	1.00
1Sheeld	Gator&A3E@All	A3E	0.00	1.00	0.00
1Sheeld	Gator&Story@TP	Gator	0.00	0.00	1.00
1Sheeld	Gator&Story@TP	Story	0.00	0.33	0.67
1Sheeld	Gator&Story@All	Gator	0.00	0.00	1.00
1Sheeld	Gator&Story@All	Story	0.00	1.00	0.00
1Sheeld	Gator&ICCBot@TP	Gator	0.00	0.00	1.00
1Sheeld	Gator&ICCBot@TP	ICCBot	0.00	0.50	0.50
1Sheeld	Gator&ICCBot@All	Gator	0.00	0.00	1.00
1Sheeld	Gator&ICCBot@All	ICCBot	0.00	1.00	0.00
1Sheeld	IC3&IC3dial@TP	IC3	0.33	0.00	0.67
1Sheeld	IC3&IC3dial@TP	IC3dial	0.33	0.00	0.67
1Sheeld	IC3&IC3dial@All	IC3	1.00	0.00	0.00
1Sheeld	IC3&IC3dial@All	IC3dial	1.00	0.00	0.00
1Sheeld	IC3&A3E@TP	IC3	0.33	0.00	0.67
1Sheeld	IC3&A3E@TP	A3E	0.33	0.17	0.50
1Sheeld	IC3&A3E@All	IC3	0.50	0.00	0.50
1Sheeld	IC3&A3E@All	A3E	0.50	0.50	0.00
1Sheeld	IC3&Story@TP	IC3	0.33	0.00	0.67
1Sheeld	IC3&Story@TP	Story	0.33	0.00	0.67
1Sheeld	IC3&Story@All	IC3	1.00	0.00	0.00
1Sheeld	IC3&Story@All	Story	1.00	0.00	0.00
1Sheeld	IC3&ICCBot@TP	IC3	0.33	0.00	0.67
1Sheeld	IC3&ICCBot@TP	ICCBot	0.33	0.17	0.50
1Sheeld	IC3&ICCBot@All	IC3	0.40	0.00	0.60
1Sheeld	IC3&ICCBot@All	ICCBot	0.40	0.60	0.00
1Sheeld	IC3dial&A3E@TP	IC3dial	0.33	0.00	0.67
1Sheeld	IC3dial&A3E@TP	A3E	0.33	0.17	0.50
1Sheeld	IC3dial&A3E@All	IC3dial	0.50	0.00	0.50
1Sheeld	IC3dial&A3E@All	A3E	0.50	0.50	0.00
1Sheeld	IC3dial&Story@TP	IC3dial	0.33	0.00	0.67
1Sheeld	IC3dial&Story@TP	Story	0.33	0.00	0.67
1Sheeld	IC3dial&Story@All	IC3dial	1.00	0.00	0.00
1Sheeld	IC3dial&Story@All	Story	1.00	0.00	0.00
1Sheeld	IC3dial&ICCBot@TP	IC3dial	0.33	0.00	0.67
1Sheeld	IC3dial&ICCBot@TP	ICCBot	0.33	0.17	0.50
1Sheeld	IC3dial&ICCBot@All	IC3dial	0.40	0.00	0.60
1Sheeld	IC3dial&ICCBot@All	ICCBot	0.40	0.60	0.00
1Sheeld	A3E&Story@TP	A3E	0.33	0.17	0.50
1Sheeld	A3E&Story@TP	Story	0.33	0.00	0.67
1Sheeld	A3E&Story@All	A3E	0.50	0.50	0.00
1Sheeld	A3E&Story@All	Story	0.50	0.00	0.50
1Sheeld	A3E&ICCBot@TP	A3E	0.50	0.00	0.50
1Sheeld	A3E&ICCBot@TP	ICCBot	0.50	0.00	0.50
1Sheeld	A3E&ICCBot@All	A3E	0.80	0.00	0.20
1Sheeld	A3E&ICCBot@All	ICCBot	0.80	0.20	0.00
1Sheeld	Story&ICCBot@TP	Story	0.33	0.00	0.67
1Sheeld	Story&ICCBot@TP	ICCBot	0.33	0.17	0.50
1Sheeld	Story&ICCBot@All	Story	0.40	0.00	0.60
1Sheeld	Story&ICCBot@All	ICCBot	0.40	0.60	0.00
Lincal	Gator&IC3@TP	Gator	0.22	0.33	0.44
Lincal	Gator&IC3@TP	IC3	0.22	0.11	0.67
Lincal	Gator&IC3@All	Gator	0.25	0.38	0.38
Lincal	Gator&IC3@All	IC3	0.25	0.38	0.38
Lincal	Gator&IC3dial@TP	Gator	0.22	0.33	0.44
Lincal	Gator&IC3dial@TP	IC3dial	0.22	0.11	0.67
Lincal	Gator&IC3dial@All	Gator	0.25	0.38	0.38
Lincal	Gator&IC3dial@All	IC3dial	0.25	0.38	0.38
Lincal	Gator&A3E@TP	Gator	0.11	0.44	0.44
Lincal	Gator&A3E@TP	A3E	0.11	0.22	0.67
Lincal	Gator&A3E@All	Gator	0.11	0.44	0.44
Lincal	Gator&A3E@All	A3E	0.11	0.44	0.44
Lincal	Gator&Story@TP	Gator	0.22	0.33	0.44
Lincal	Gator&Story@TP	Story	0.22	0.11	0.67
Lincal	Gator&Story@All	Gator	0.33	0.50	0.17
Lincal	Gator&Story@All	Story	0.33	0.17	0.50
Lincal	Gator&ICCBot@TP	Gator	0.56	0.00	0.44
Lincal	Gator&ICCBot@TP	ICCBot	0.56	0.44	0.00
Lincal	Gator&ICCBot@All	Gator	0.31	0.00	0.69
Lincal	Gator&ICCBot@All	ICCBot	0.31	0.69	0.00
Lincal	IC3&IC3dial@TP	IC3	0.33	0.00	0.67
Lincal	IC3&IC3dial@TP	IC3dial	0.33	0.00	0.67
Lincal	IC3&IC3dial@All	IC3	1.00	0.00	0.00
Lincal	IC3&IC3dial@All	IC3dial	1.00	0.00	0.00
Lincal	IC3&A3E@TP	IC3	0.22	0.11	0.67
Lincal	IC3&A3E@TP	A3E	0.22	0.11	0.67
Lincal	IC3&A3E@All	IC3	0.25	0.38	0.38
Lincal	IC3&A3E@All	A3E	0.25	0.38	0.38
Lincal	IC3&Story@TP	IC3	0.22	0.11	0.67
Lincal	IC3&Story@TP	Story	0.22	0.11	0.67
Lincal	IC3&Story@All	IC3	0.33	0.50	0.17
Lincal	IC3&Story@All	Story	0.33	0.17	0.50
Lincal	IC3&ICCBot@TP	IC3	0.33	0.00	0.67
Lincal	IC3&ICCBot@TP	ICCBot	0.33	0.67	0.00
Lincal	IC3&ICCBot@All	IC3	0.31	0.00	0.69
Lincal	IC3&ICCBot@All	ICCBot	0.31	0.69	0.00
Lincal	IC3dial&A3E@TP	IC3dial	0.22	0.11	0.67
Lincal	IC3dial&A3E@TP	A3E	0.22	0.11	0.67
Lincal	IC3dial&A3E@All	IC3dial	0.25	0.38	0.38
Lincal	IC3dial&A3E@All	A3E	0.25	0.38	0.38
Lincal	IC3dial&Story@TP	IC3dial	0.22	0.11	0.67
Lincal	IC3dial&Story@TP	Story	0.22	0.11	0.67
Lincal	IC3dial&Story@All	IC3dial	0.33	0.50	0.17
Lincal	IC3dial&Story@All	Story	0.33	0.17	0.50
Lincal	IC3dial&ICCBot@TP	IC3dial	0.33	0.00	0.67
Lincal	IC3dial&ICCBot@TP	ICCBot	0.33	0.67	0.00
Lincal	IC3dial&ICCBot@All	IC3dial	0.31	0.00	0.69
Lincal	IC3dial&ICCBot@All	ICCBot	0.31	0.69	0.00
Lincal	A3E&Story@TP	A3E	0.22	0.11	0.67
Lincal	A3E&Story@TP	Story	0.22	0.11	0.67
Lincal	A3E&Story@All	A3E	0.33	0.50	0.17
Lincal	A3E&Story@All	Story	0.33	0.17	0.50
Lincal	A3E&ICCBot@TP	A3E	0.33	0.00	0.67
Lincal	A3E&ICCBot@TP	ICCBot	0.33	0.67	0.00
Lincal	A3E&ICCBot@All	A3E	0.31	0.00	0.69
Lincal	A3E&ICCBot@All	ICCBot	0.31	0.69	0.00
Lincal	Story&ICCBot@TP	Story	0.33	0.00	0.67
Lincal	Story&ICCBot@TP	ICCBot	0.33	0.67	0.00
Lincal	Story&ICCBot@All	Story	0.19	0.00	0.81
Lincal	Story&ICCBot@All	ICCBot	0.19	0.81	0.00
EteSync	Gator&IC3@TP	Gator	0.00	0.30	0.70
EteSync	Gator&IC3@TP	IC3	0.00	0.00	1.00
EteSync	Gator&IC3@All	Gator	0.00	1.00	0.00
EteSync	Gator&IC3@All	IC3	0.00	0.00	1.00
EteSync	Gator&IC3dial@TP	Gator	0.00	0.30	0.70
EteSync	Gator&IC3dial@TP	IC3dial	0.00	0.00	1.00
EteSync	Gator&IC3dial@All	Gator	0.00	1.00	0.00
EteSync	Gator&IC3dial@All	IC3dial	0.00	0.00	1.00
EteSync	Gator&A3E@TP	Gator	0.10	0.20	0.70
EteSync	Gator&A3E@TP	A3E	0.10	0.05	0.85
EteSync	Gator&A3E@All	Gator	0.22	0.56	0.22
EteSync	Gator&A3E@All	A3E	0.22	0.22	0.56
EteSync	Gator&Story@TP	Gator	0.10	0.20	0.70
EteSync	Gator&Story@TP	Story	0.10	0.15	0.75
EteSync	Gator&Story@All	Gator	0.18	0.45	0.36
EteSync	Gator&Story@All	Story	0.18	0.36	0.45
EteSync	Gator&ICCBot@TP	Gator	0.30	0.00	0.70
EteSync	Gator&ICCBot@TP	ICCBot	0.30	0.65	0.05
EteSync	Gator&ICCBot@All	Gator	0.11	0.02	0.87
EteSync	Gator&ICCBot@All	ICCBot	0.11	0.87	0.02
EteSync	IC3&IC3dial@TP	IC3	0.00	0.00	1.00
EteSync	IC3&IC3dial@TP	IC3dial	0.00	0.00	1.00
EteSync	IC3&IC3dial@All	IC3	div0	div0	div0
EteSync	IC3&IC3dial@All	IC3dial	div0	div0	div0
EteSync	IC3&A3E@TP	IC3	0.00	0.00	1.00
EteSync	IC3&A3E@TP	A3E	0.00	0.15	0.85
EteSync	IC3&A3E@All	IC3	0.00	0.00	1.00
EteSync	IC3&A3E@All	A3E	0.00	1.00	0.00
EteSync	IC3&Story@TP	IC3	0.00	0.00	1.00
EteSync	IC3&Story@TP	Story	0.00	0.25	0.75
EteSync	IC3&Story@All	IC3	0.00	0.00	1.00
EteSync	IC3&Story@All	Story	0.00	1.00	0.00
EteSync	IC3&ICCBot@TP	IC3	0.00	0.00	1.00
EteSync	IC3&ICCBot@TP	ICCBot	0.00	0.95	0.05
EteSync	IC3&ICCBot@All	IC3	0.00	0.00	1.00
EteSync	IC3&ICCBot@All	ICCBot	0.00	1.00	0.00
EteSync	IC3dial&A3E@TP	IC3dial	0.00	0.00	1.00
EteSync	IC3dial&A3E@TP	A3E	0.00	0.15	0.85
EteSync	IC3dial&A3E@All	IC3dial	0.00	0.00	1.00
EteSync	IC3dial&A3E@All	A3E	0.00	1.00	0.00
EteSync	IC3dial&Story@TP	IC3dial	0.00	0.00	1.00
EteSync	IC3dial&Story@TP	Story	0.00	0.25	0.75
EteSync	IC3dial&Story@All	IC3dial	0.00	0.00	1.00
EteSync	IC3dial&Story@All	Story	0.00	1.00	0.00
EteSync	IC3dial&ICCBot@TP	IC3dial	0.00	0.00	1.00
EteSync	IC3dial&ICCBot@TP	ICCBot	0.00	0.95	0.05
EteSync	IC3dial&ICCBot@All	IC3dial	0.00	0.00	1.00
EteSync	IC3dial&ICCBot@All	ICCBot	0.00	1.00	0.00
EteSync	A3E&Story@TP	A3E	0.10	0.05	0.85
EteSync	A3E&Story@TP	Story	0.10	0.15	0.75
EteSync	A3E&Story@All	A3E	0.25	0.25	0.50
EteSync	A3E&Story@All	Story	0.25	0.50	0.25
EteSync	A3E&ICCBot@TP	A3E	0.10	0.05	0.85
EteSync	A3E&ICCBot@TP	ICCBot	0.10	0.85	0.05
EteSync	A3E&ICCBot@All	A3E	0.04	0.04	0.93
EteSync	A3E&ICCBot@All	ICCBot	0.04	0.93	0.04
EteSync	Story&ICCBot@TP	Story	0.25	0.00	0.75
EteSync	Story&ICCBot@TP	ICCBot	0.25	0.70	0.05
EteSync	Story&ICCBot@All	Story	0.11	0.00	0.89
EteSync	Story&ICCBot@All	ICCBot	0.11	0.89	0.00
com.farmerbb.taskbar	Gator&IC3@TP	Gator	0.03	0.00	0.97
com.farmerbb.taskbar	Gator&IC3@TP	IC3	0.03	0.39	0.58
com.farmerbb.taskbar	Gator&IC3@All	Gator	0.01	0.09	0.90
com.farmerbb.taskbar	Gator&IC3@All	IC3	0.01	0.90	0.09
com.farmerbb.taskbar	Gator&IC3dial@TP	Gator	0.03	0.00	0.97
com.farmerbb.taskbar	Gator&IC3dial@TP	IC3dial	0.03	0.39	0.58
com.farmerbb.taskbar	Gator&IC3dial@All	Gator	0.01	0.09	0.90
com.farmerbb.taskbar	Gator&IC3dial@All	IC3dial	0.01	0.90	0.09
com.farmerbb.taskbar	Gator&A3E@TP	Gator	0.03	0.00	0.97
com.farmerbb.taskbar	Gator&A3E@TP	A3E	0.03	0.61	0.36
com.farmerbb.taskbar	Gator&A3E@All	Gator	0.02	0.12	0.87
com.farmerbb.taskbar	Gator&A3E@All	A3E	0.02	0.87	0.12
com.farmerbb.taskbar	Gator&Story@TP	Gator	0.03	0.00	0.97
com.farmerbb.taskbar	Gator&Story@TP	Story	0.03	0.25	0.72
com.farmerbb.taskbar	Gator&Story@All	Gator	0.03	0.23	0.74
com.farmerbb.taskbar	Gator&Story@All	Story	0.03	0.74	0.23
com.farmerbb.taskbar	Gator&ICCBot@TP	Gator	0.03	0.00	0.97
com.farmerbb.taskbar	Gator&ICCBot@TP	ICCBot	0.03	0.81	0.17
com.farmerbb.taskbar	Gator&ICCBot@All	Gator	0.01	0.06	0.93
com.farmerbb.taskbar	Gator&ICCBot@All	ICCBot	0.01	0.93	0.06
com.farmerbb.taskbar	IC3&IC3dial@TP	IC3	0.42	0.00	0.58
com.farmerbb.taskbar	IC3&IC3dial@TP	IC3dial	0.42	0.00	0.58
com.farmerbb.taskbar	IC3&IC3dial@All	IC3	1.00	0.00	0.00
com.farmerbb.taskbar	IC3&IC3dial@All	IC3dial	1.00	0.00	0.00
com.farmerbb.taskbar	IC3&A3E@TP	IC3	0.33	0.08	0.58
com.farmerbb.taskbar	IC3&A3E@TP	A3E	0.33	0.31	0.36
com.farmerbb.taskbar	IC3&A3E@All	IC3	0.33	0.43	0.24
com.farmerbb.taskbar	IC3&A3E@All	A3E	0.33	0.24	0.43
com.farmerbb.taskbar	IC3&Story@TP	IC3	0.08	0.33	0.58
com.farmerbb.taskbar	IC3&Story@TP	Story	0.08	0.19	0.72
com.farmerbb.taskbar	IC3&Story@All	IC3	0.19	0.70	0.11
com.farmerbb.taskbar	IC3&Story@All	Story	0.19	0.11	0.70
com.farmerbb.taskbar	IC3&ICCBot@TP	IC3	0.39	0.03	0.58
com.farmerbb.taskbar	IC3&ICCBot@TP	ICCBot	0.39	0.44	0.17
com.farmerbb.taskbar	IC3&ICCBot@All	IC3	0.42	0.14	0.44
com.farmerbb.taskbar	IC3&ICCBot@All	ICCBot	0.42	0.44	0.14
com.farmerbb.taskbar	IC3dial&A3E@TP	IC3dial	0.33	0.08	0.58
com.farmerbb.taskbar	IC3dial&A3E@TP	A3E	0.33	0.31	0.36
com.farmerbb.taskbar	IC3dial&A3E@All	IC3dial	0.33	0.43	0.24
com.farmerbb.taskbar	IC3dial&A3E@All	A3E	0.33	0.24	0.43
com.farmerbb.taskbar	IC3dial&Story@TP	IC3dial	0.08	0.33	0.58
com.farmerbb.taskbar	IC3dial&Story@TP	Story	0.08	0.19	0.72
com.farmerbb.taskbar	IC3dial&Story@All	IC3dial	0.19	0.70	0.11
com.farmerbb.taskbar	IC3dial&Story@All	Story	0.19	0.11	0.70
com.farmerbb.taskbar	IC3dial&ICCBot@TP	IC3dial	0.39	0.03	0.58
com.farmerbb.taskbar	IC3dial&ICCBot@TP	ICCBot	0.39	0.44	0.17
com.farmerbb.taskbar	IC3dial&ICCBot@All	IC3dial	0.42	0.14	0.44
com.farmerbb.taskbar	IC3dial&ICCBot@All	ICCBot	0.42	0.44	0.14
com.farmerbb.taskbar	A3E&Story@TP	A3E	0.25	0.39	0.36
com.farmerbb.taskbar	A3E&Story@TP	Story	0.25	0.03	0.72
com.farmerbb.taskbar	A3E&Story@All	A3E	0.26	0.61	0.13
com.farmerbb.taskbar	A3E&Story@All	Story	0.26	0.13	0.61
com.farmerbb.taskbar	A3E&ICCBot@TP	A3E	0.58	0.06	0.36
com.farmerbb.taskbar	A3E&ICCBot@TP	ICCBot	0.58	0.25	0.17
com.farmerbb.taskbar	A3E&ICCBot@All	A3E	0.40	0.06	0.54
com.farmerbb.taskbar	A3E&ICCBot@All	ICCBot	0.40	0.54	0.06
com.farmerbb.taskbar	Story&ICCBot@TP	Story	0.25	0.03	0.72
com.farmerbb.taskbar	Story&ICCBot@TP	ICCBot	0.25	0.58	0.17
com.farmerbb.taskbar	Story&ICCBot@All	Story	0.21	0.01	0.78
com.farmerbb.taskbar	Story&ICCBot@All	ICCBot	0.21	0.78	0.01
Conversations	Gator&IC3@TP	Gator	0.00	0.59	0.41
Conversations	Gator&IC3@TP	IC3	0.00	0.00	1.00
Conversations	Gator&IC3@All	Gator	0.00	1.00	0.00
Conversations	Gator&IC3@All	IC3	0.00	0.00	1.00
Conversations	Gator&IC3dial@TP	Gator	0.00	0.59	0.41
Conversations	Gator&IC3dial@TP	IC3dial	0.00	0.00	1.00
Conversations	Gator&IC3dial@All	Gator	0.00	1.00	0.00
Conversations	Gator&IC3dial@All	IC3dial	0.00	0.00	1.00
Conversations	Gator&A3E@TP	Gator	0.00	0.59	0.41
Conversations	Gator&A3E@TP	A3E	0.00	0.00	1.00
Conversations	Gator&A3E@All	Gator	0.00	1.00	0.00
Conversations	Gator&A3E@All	A3E	0.00	0.00	1.00
Conversations	Gator&Story@TP	Gator	0.30	0.29	0.41
Conversations	Gator&Story@TP	Story	0.30	0.13	0.57
Conversations	Gator&Story@All	Gator	0.07	0.90	0.04
Conversations	Gator&Story@All	Story	0.07	0.04	0.90
Conversations	Gator&ICCBot@TP	Gator	0.59	0.00	0.41
Conversations	Gator&ICCBot@TP	ICCBot	0.59	0.36	0.05
Conversations	Gator&ICCBot@All	Gator	0.32	0.44	0.24
Conversations	Gator&ICCBot@All	ICCBot	0.32	0.24	0.44
Conversations	IC3&IC3dial@TP	IC3	0.00	0.00	1.00
Conversations	IC3&IC3dial@TP	IC3dial	0.00	0.00	1.00
Conversations	IC3&IC3dial@All	IC3	div0	div0	div0
Conversations	IC3&IC3dial@All	IC3dial	div0	div0	div0
Conversations	IC3&A3E@TP	IC3	0.00	0.00	1.00
Conversations	IC3&A3E@TP	A3E	0.00	0.00	1.00
Conversations	IC3&A3E@All	IC3	div0	div0	div0
Conversations	IC3&A3E@All	A3E	div0	div0	div0
Conversations	IC3&Story@TP	IC3	0.00	0.00	1.00
Conversations	IC3&Story@TP	Story	0.00	0.43	0.57
Conversations	IC3&Story@All	IC3	0.00	0.00	1.00
Conversations	IC3&Story@All	Story	0.00	1.00	0.00
Conversations	IC3&ICCBot@TP	IC3	0.00	0.00	1.00
Conversations	IC3&ICCBot@TP	ICCBot	0.00	0.95	0.05
Conversations	IC3&ICCBot@All	IC3	0.00	0.00	1.00
Conversations	IC3&ICCBot@All	ICCBot	0.00	1.00	0.00
Conversations	IC3dial&A3E@TP	IC3dial	0.00	0.00	1.00
Conversations	IC3dial&A3E@TP	A3E	0.00	0.00	1.00
Conversations	IC3dial&A3E@All	IC3dial	div0	div0	div0
Conversations	IC3dial&A3E@All	A3E	div0	div0	div0
Conversations	IC3dial&Story@TP	IC3dial	0.00	0.00	1.00
Conversations	IC3dial&Story@TP	Story	0.00	0.43	0.57
Conversations	IC3dial&Story@All	IC3dial	0.00	0.00	1.00
Conversations	IC3dial&Story@All	Story	0.00	1.00	0.00
Conversations	IC3dial&ICCBot@TP	IC3dial	0.00	0.00	1.00
Conversations	IC3dial&ICCBot@TP	ICCBot	0.00	0.95	0.05
Conversations	IC3dial&ICCBot@All	IC3dial	0.00	0.00	1.00
Conversations	IC3dial&ICCBot@All	ICCBot	0.00	1.00	0.00
Conversations	A3E&Story@TP	A3E	0.00	0.00	1.00
Conversations	A3E&Story@TP	Story	0.00	0.43	0.57
Conversations	A3E&Story@All	A3E	0.00	0.00	1.00
Conversations	A3E&Story@All	Story	0.00	1.00	0.00
Conversations	A3E&ICCBot@TP	A3E	0.00	0.00	1.00
Conversations	A3E&ICCBot@TP	ICCBot	0.00	0.95	0.05
Conversations	A3E&ICCBot@All	A3E	0.00	0.00	1.00
Conversations	A3E&ICCBot@All	ICCBot	0.00	1.00	0.00
Conversations	Story&ICCBot@TP	Story	0.43	0.00	0.57
Conversations	Story&ICCBot@TP	ICCBot	0.43	0.52	0.05
Conversations	Story&ICCBot@All	Story	0.14	0.00	0.86
Conversations	Story&ICCBot@All	ICCBot	0.14	0.86	0.00
AntennaPod	Gator&IC3@TP	Gator	0.00	0.13	0.87
AntennaPod	Gator&IC3@TP	IC3	0.00	0.00	1.00
AntennaPod	Gator&IC3@All	Gator	0.00	1.00	0.00
AntennaPod	Gator&IC3@All	IC3	0.00	0.00	1.00
AntennaPod	Gator&IC3dial@TP	Gator	0.00	0.13	0.87
AntennaPod	Gator&IC3dial@TP	IC3dial	0.00	0.00	1.00
AntennaPod	Gator&IC3dial@All	Gator	0.00	1.00	0.00
AntennaPod	Gator&IC3dial@All	IC3dial	0.00	0.00	1.00
AntennaPod	Gator&A3E@TP	Gator	0.05	0.08	0.87
AntennaPod	Gator&A3E@TP	A3E	0.05	0.10	0.85
AntennaPod	Gator&A3E@All	Gator	0.14	0.41	0.45
AntennaPod	Gator&A3E@All	A3E	0.14	0.45	0.41
AntennaPod	Gator&Story@TP	Gator	0.13	0.00	0.87
AntennaPod	Gator&Story@TP	Story	0.13	0.15	0.72
AntennaPod	Gator&Story@All	Gator	0.30	0.30	0.40
AntennaPod	Gator&Story@All	Story	0.30	0.40	0.30
AntennaPod	Gator&ICCBot@TP	Gator	0.13	0.00	0.87
AntennaPod	Gator&ICCBot@TP	ICCBot	0.13	0.46	0.41
AntennaPod	Gator&ICCBot@All	Gator	0.13	0.09	0.78
AntennaPod	Gator&ICCBot@All	ICCBot	0.13	0.78	0.09
AntennaPod	IC3&IC3dial@TP	IC3	0.00	0.00	1.00
AntennaPod	IC3&IC3dial@TP	IC3dial	0.00	0.00	1.00
AntennaPod	IC3&IC3dial@All	IC3	div0	div0	div0
AntennaPod	IC3&IC3dial@All	IC3dial	div0	div0	div0
AntennaPod	IC3&A3E@TP	IC3	0.00	0.00	1.00
AntennaPod	IC3&A3E@TP	A3E	0.00	0.15	0.85
AntennaPod	IC3&A3E@All	IC3	0.00	0.00	1.00
AntennaPod	IC3&A3E@All	A3E	0.00	1.00	0.00
AntennaPod	IC3&Story@TP	IC3	0.00	0.00	1.00
AntennaPod	IC3&Story@TP	Story	0.00	0.28	0.72
AntennaPod	IC3&Story@All	IC3	0.00	0.00	1.00
AntennaPod	IC3&Story@All	Story	0.00	1.00	0.00
AntennaPod	IC3&ICCBot@TP	IC3	0.00	0.00	1.00
AntennaPod	IC3&ICCBot@TP	ICCBot	0.00	0.59	0.41
AntennaPod	IC3&ICCBot@All	IC3	0.00	0.00	1.00
AntennaPod	IC3&ICCBot@All	ICCBot	0.00	1.00	0.00
AntennaPod	IC3dial&A3E@TP	IC3dial	0.00	0.00	1.00
AntennaPod	IC3dial&A3E@TP	A3E	0.00	0.15	0.85
AntennaPod	IC3dial&A3E@All	IC3dial	0.00	0.00	1.00
AntennaPod	IC3dial&A3E@All	A3E	0.00	1.00	0.00
AntennaPod	IC3dial&Story@TP	IC3dial	0.00	0.00	1.00
AntennaPod	IC3dial&Story@TP	Story	0.00	0.28	0.72
AntennaPod	IC3dial&Story@All	IC3dial	0.00	0.00	1.00
AntennaPod	IC3dial&Story@All	Story	0.00	1.00	0.00
AntennaPod	IC3dial&ICCBot@TP	IC3dial	0.00	0.00	1.00
AntennaPod	IC3dial&ICCBot@TP	ICCBot	0.00	0.59	0.41
AntennaPod	IC3dial&ICCBot@All	IC3dial	0.00	0.00	1.00
AntennaPod	IC3dial&ICCBot@All	ICCBot	0.00	1.00	0.00
AntennaPod	A3E&Story@TP	A3E	0.15	0.00	0.85
AntennaPod	A3E&Story@TP	Story	0.15	0.13	0.72
AntennaPod	A3E&Story@All	A3E	0.42	0.26	0.32
AntennaPod	A3E&Story@All	Story	0.42	0.32	0.26
AntennaPod	A3E&ICCBot@TP	A3E	0.15	0.00	0.85
AntennaPod	A3E&ICCBot@TP	ICCBot	0.15	0.44	0.41
AntennaPod	A3E&ICCBot@All	A3E	0.22	0.04	0.75
AntennaPod	A3E&ICCBot@All	ICCBot	0.22	0.75	0.04
AntennaPod	Story&ICCBot@TP	Story	0.28	0.00	0.72
AntennaPod	Story&ICCBot@TP	ICCBot	0.28	0.31	0.41
AntennaPod	Story&ICCBot@All	Story	0.29	0.00	0.71
AntennaPod	Story&ICCBot@All	ICCBot	0.29	0.71	0.00
